symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
SHIB1000USDT,HID_BULL,1.0,5.0,42,6.69,21.4,10,6.8,30.0
SNXUSDT,HID_BULL,1.0,5.0,44,6.49,20.5,7,4.23,28.6
SNXUSDT,HID_BEAR,1.0,10.0,39,45.94,20.5,18,24.27,22.2
SOLAYERUSDT,REG_BEAR,1.5,10.0,26,48.9,26.9,9,1.48,11.1
SOLAYERUSDT,HID_BULL,1.0,6.0,37,30.27,27.0,4,2.63,25.0
SOLAYERUSDT,HID_BEAR,2.0,9.0,39,59.22,25.6,18,11.12,16.7
SOLUSDT,REG_BEAR,1.0,9.0,21,26.89,23.8,14,3.91,14.3
SOLUSDT,HID_BULL,2.0,8.0,46,32.14,19.6,9,8.19,22.2
SOMIUSDT,REG_BEAR,2.0,9.0,10,19.7,30.0,5,4.77,20.0
SPKUSDT,HID_BULL,1.5,9.0,21,8.23,14.3,7,2.63,14.3
SPXUSDT,HID_BEAR,1.0,1.5,48,17.11,56.2,17,4.42,52.9
SSVUSDT,HID_BULL,1.0,10.0,38,14.09,13.2,8,2.3,12.5
SSVUSDT,HID_BEAR,2.0,6.0,44,45.33,29.5,19,1.16,15.8
STGUSDT,REG_BULL,1.5,6.0,16,17.43,31.2,4,2.7,25.0
STGUSDT,REG_BEAR,1.0,10.0,31,30.45,19.4,6,4.12,16.7
STRKUSDT,REG_BEAR,2.0,6.0,21,27.17,33.3,6,7.75,33.3
STRKUSDT,HID_BULL,2.0,2.0,38,29.43,60.5,5,0.81,40.0
STRKUSDT,HID_BEAR,1.0,9.0,56,29.99,16.1,17,11.65,17.6
STXUSDT,HID_BEAR,1.5,10.0,44,63.2,22.7,18,35.8,27.8
SUIUSDT,REG_BEAR,1.0,10.0,36,4.35,11.1,12,8.85,16.7
SUIUSDT,HID_BEAR,1.0,9.0,47,29.18,17.0,17,1.36,11.8
SUNUSDT,REG_BEAR,1.0,9.0,20,6.23,15.0,8,9.64,25.0
SUNUSDT,HID_BEAR,2.0,9.0,43,22.95,16.3,21,5.46,14.3
SUPERUSDT,REG_BEAR,1.5,10.0,19,12.98,15.8,7,3.6,14.3
SUSDT,REG_BEAR,1.5,10.0,28,3.24,10.7,14,29.09,28.6
SUSDT,HID_BEAR,2.0,9.0,54,53.71,20.4,19,30.01,26.3
SXPUSDT,REG_BEAR,1.0,10.0,27,35.38,22.2,8,2.28,12.5
SXPUSDT,HID_BEAR,1.0,2.0,43,9.15,44.2,14,2.67,42.9
SYNUSDT,REG_BULL,2.0,4.0,11,3.6,27.3,9,5.52,33.3
SYNUSDT,REG_BEAR,2.0,10.0,27,92.84,40.7,6,4.64,16.7
TAIKOUSDT,REG_BULL,1.5,9.0,19,39.65,31.6,5,4.64,20.0
TAIKOUSDT,HID_BULL,2.0,10.0,30,12.51,13.3,9,12.38,22.2
TAOUSDT,REG_BEAR,1.0,9.0,35,21.65,17.1,10,9.03,20.0
TAOUSDT,HID_BEAR,1.0,9.0,41,26.11,17.1,19,9.15,15.8
THETAUSDT,REG_BEAR,2.0,8.0,29,50.68,31.0,7,10.68,28.6
THETAUSDT,HID_BEAR,1.0,7.0,45,14.83,17.8,19,19.28,26.3
TRUMPUSDT,REG_BULL,2.0,1.5,12,2.39,50.0,4,0.75,50.0
TRUMPUSDT,HID_BULL,1.0,7.0,33,3.6,15.2,3,4.65,33.3
TRUMPUSDT,HID_BEAR,1.5,10.0,49,79.61,24.5,21,42.82,28.6
TRXUSDT,HID_BULL,2.0,9.0,47,46.52,21.3,19,7.47,15.8
UNIUSDT,REG_BEAR,1.5,5.0,24,22.3,33.3,10,1.12,20.0
UNIUSDT,HID_BULL,1.0,1.5,24,11.02,62.5,12,4.57,58.3
USUALUSDT,REG_BULL,1.0,4.0,11,13.22,45.5,4,5.71,50.0
USUALUSDT,HID_BEAR,2.0,1.5,60,17.93,53.3,13,1.39,46.2
VANAUSDT,HID_BEAR,1.0,4.0,44,17.67,29.5,20,7.65,30.0
