symbol,side,signal_type,entry,sl,tp,exit,outcome,bars_held,filled,r_pnl
FARTCOINUSDT,short,hidden_bearish,0.2915,0.30601529223160057,0.24795412330519828,0.30601529223160057,loss,5,True,-1.0
FARTCOINUSDT,short,hidden_bearish,0.296,0.30943059727618,0.25570820817146,0.30943059727618,loss,6,True,-1.0
FARTCOINUSDT,short,hidden_bearish,0.302,0.3157,0.2609,0.2609,win,32,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.3048,0.313,0.28020000000000006,0.28020000000000006,win,5,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.3058,0.3075996875194475,0.30040093744165763,0.3075996875194475,loss,1,True,-1.0
FARTCOINUSDT,short,hidden_bearish,0.2991,0.3101,0.26609999999999995,0.26609999999999995,win,26,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.2769,0.29591422818014007,0.21985731545957976,0.2769,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2768,0.29483468694419407,0.2226959391674177,0.2768,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2813,0.2946150510733055,0.24135484678008348,0.24135484678008348,win,42,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.2855,0.29851086058394943,0.2464674182481516,0.2464674182481516,win,21,True,3.0
FARTCOINUSDT,short,hidden_bearish,0.2625,0.27910829425580846,0.2126751172325746,0.2625,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2636,0.27802667435214057,0.22031997694357827,0.2636,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2516,0.2686920354022745,0.20032389379317656,0.2516,timeout,50,True,0.0
FARTCOINUSDT,short,hidden_bearish,0.2567,0.266,0.2287999999999999,0.2287999999999999,win,7,True,3.0
