symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd_pct,mc_pct,train1,train2,oos
HIPPOUSDT,REG_BULL,5.0,2.5,32,46.9,57.3,3.38,10.7,100.0,"{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 12.71}","{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 28.7}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 15.88}"
HIPPOUSDT,REG_BULL,6.0,1.5,32,34.4,43.83,2.33,14.3,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 9.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 14.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 19.81}"
HIPPOUSDT,REG_BULL,6.0,2.0,32,40.6,58.12,2.99,10.6,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 9.64}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 28.62}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 19.86}"
HIPPOUSDT,REG_BULL,6.0,2.5,32,43.8,65.8,3.36,9.3,100.0,"{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 16.71}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 29.2}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 19.89}"
HIPPOUSDT,REG_BULL,7.0,1.5,32,34.4,54.83,2.55,11.4,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 12.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 18.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 23.81}"
HIPPOUSDT,REG_BULL,7.0,2.0,32,40.6,71.12,3.2,8.7,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 12.64}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 34.62}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 23.86}"
HIPPOUSDT,REG_BULL,8.0,1.5,32,34.4,65.83,2.72,9.5,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 15.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 22.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 27.81}"
HIPPOUSDT,REG_BULL,9.0,1.5,32,34.4,76.83,2.86,8.1,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 18.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 26.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 31.81}"
HIPPOUSDT,REG_BULL,10.0,1.5,32,34.4,87.83,2.97,7.1,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 21.52}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 30.5}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 35.81}"
IPUSDT,HID_BULL,3.0,2.0,37,43.2,25.71,2.13,28.4,100.0,"{'trades': 18, 'wins': 8, 'wr': 44.4, 'total_r': 13.3}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 11.64}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 0.77}"
IPUSDT,HID_BULL,3.0,2.5,37,48.6,34.46,2.85,21.0,100.0,"{'trades': 18, 'wins': 9, 'wr': 50.0, 'total_r': 17.44}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 15.71}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 1.32}"
