symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
XTZUSDT,HID_BULL,2.0,9.0,1.7161111111111111,bull_tested,1,18
XVGUSDT,HID_BULL,2.0,10.0,0.9035294117647058,bull_tested,1,17
YFIUSDT,REG_BEAR,1.0,8.0,0.22923076923076924,bear_tested,1,13
YGGUSDT,REG_BEAR,2.0,9.0,1.6763636363636365,bear_tested,1,11
ZEREBROUSDT,HID_BEAR,1.0,3.0,0.59,bear_tested,1,24
ZETAUSDT,REG_BEAR,2.0,10.0,0.31375,bull_tested,1,8
ZILUSDT,REG_BULL,1.0,4.0,2.25,bear_tested,1,6
ZKUSDT,REG_BULL,1.5,9.0,1.44125,bull_tested,1,8
ZORAUSDT,HID_BEAR,1.5,10.0,0.36869565217391304,bear_tested,1,23
ZROUSDT,REG_BULL,1.0,4.0,2.05125,bear_tested,1,8
ZRXUSDT,REG_BEAR,1.0,9.0,0.3071428571428571,bear_tested,1,14
